Model,MDO3024
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.4,
Horizontal Delay,0,
Sample Interval,0.004,
Record Length,1000,
Gating,0.1% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,0.5
Vertical Position,0,-1.98
,,
,,
,,
Label,,
TIME,CH1,CH2
9.080e-01,3.28,1.07
9.120e-01,3.2,1.05
9.160e-01,3.12,1.03
9.200e-01,3.12,0.99
9.240e-01,3.04,1.01
9.280e-01,3.12,1.01
9.320e-01,3.12,0.97
9.360e-01,3.04,0.97
9.400e-01,3.04,0.97
9.440e-01,3.04,0.95
9.480e-01,3.04,0.91
9.520e-01,3.04,0.87
9.560e-01,2.96,0.87
9.600e-01,3.04,0.87
9.640e-01,2.96,0.85
9.680e-01,2.88,0.83
9.720e-01,2.96,0.79
9.760e-01,3.04,0.81
9.800e-01,2.8,0.77
9.840e-01,2.88,0.77
9.880e-01,2.8,0.73
9.920e-01,2.8,0.73
9.960e-01,2.8,0.69
1.000e+00,2.88,0.67
1.004e+00,2.8,0.65
1.008e+00,2.72,0.65
1.012e+00,2.72,0.65
1.016e+00,2.72,0.63
1.020e+00,2.64,0.61
1.024e+00,2.64,0.59
1.028e+00,2.72,0.55
1.032e+00,2.72,0.55
1.036e+00,2.64,0.53
1.040e+00,2.56,0.53
1.044e+00,2.64,0.51
1.048e+00,2.56,0.49
1.052e+00,2.48,0.47
1.056e+00,2.48,0.45
1.060e+00,2.48,0.45
1.064e+00,2.48,0.45
1.068e+00,2.48,0.43
1.072e+00,2.48,0.41
1.076e+00,2.48,0.41
1.080e+00,2.48,0.39
1.084e+00,2.48,0.39
1.088e+00,2.4,0.37
1.092e+00,2.4,0.35
1.096e+00,2.4,0.35
1.100e+00,2.32,0.31
1.104e+00,2.32,0.31
1.108e+00,2.4,0.29
1.112e+00,2.24,0.29
1.116e+00,2.24,0.29
1.120e+00,2.32,0.29
1.124e+00,2.24,0.25
1.128e+00,2.32,0.25
1.132e+00,2.24,0.27
1.136e+00,2.16,0.25
1.140e+00,2.24,0.23
1.144e+00,2.16,0.23
1.148e+00,2.16,0.23
1.152e+00,2.08,0.21
1.156e+00,2.16,0.23
1.160e+00,2.16,0.23
1.164e+00,2.08,0.21
1.168e+00,2,0.21
1.172e+00,2.08,0.21
1.176e+00,1.84,0.21
1.180e+00,2,0.21
1.184e+00,2,0.23
1.188e+00,2,0.21
1.192e+00,1.92,0.23
1.196e+00,1.84,0.23
1.200e+00,1.92,0.25
1.204e+00,1.84,0.25
1.208e+00,1.84,0.23
1.212e+00,1.92,0.23
1.216e+00,1.84,0.25
1.220e+00,1.76,0.27
1.224e+00,1.84,0.27
1.228e+00,1.76,0.29
1.232e+00,1.68,0.29
